,album,artist,author,bitrate,bpm,composer,copyright,date,discnumber,encodedby,genre,length,media,organization,performer,title,tracknumber
94,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,158.7493,,Geffen,Weezer,Smile,7
95,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,1994,1/1,,Alternative Pop,235.7844,,Geffen,Weezer,In The Garage,8
96,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,176.7999,,Geffen,Weezer,Simple Pages,8
97,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,160.91745,,Geffen,Weezer,Glorious Day,9
98,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,1994,1/1,,Alternative Pop,205.01215,,Geffen,Weezer,Holiday,9
99,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,2001,1/1,,Alternative Pop,229.80235,,Geffen,Weezer,O Girlfriend,10
100,Weezer (Green Album),Weezer,,320000,,Rivers Cuomo,,1994,1/1,,Alternative Pop,479.141125,,Geffen,Weezer,Only In Dreams,10
101,Weezer (The Red Album) [Japan Edition],Weezer,,320000,,,,2008,,,Rock,164.783575,,Geffen Records,Weezer,Troublemaker,01
102,Weezer (The Red Album) [Japan Edition],Weezer,,320000,,,,2008,,,Rock,352.290525,,Geffen Records,Weezer,The Greatest Man That Ever Lived (Variations on a Shaker Hymn),02
103,Weezer (The Red Album) [Japan Edition],Weezer,,320000,,,,2008,,,Rock,189.4693,,Geffen Records,Weezer,Pork and Beans,03
104,Weezer (The Red Album) [Japan Edition],Weezer,,320000,,,,2008,,,Rock,245.97215,,Geffen Records,Weezer,Heart Songs,04
105,Weezer (The Red Album) [Japan Edition],Weezer,,320000,,,,2008,,,Rock,242.83745,,Geffen Records,Weezer,Everybody Get Dangerous,05
